NUM_THREADS,BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
1,75,2000,1,37.609774
1,75,2400,1,37.605184
1,75,2800,1,37.605286
1,75,3200,1,37.702174
1,75,3600,1,37.663898
1,75,4000,1,37.627571
1,75,4400,1,37.605440
1,75,4800,1,37.587659
1,81,2000,1,37.610007
1,81,2400,1,37.590504
1,81,2800,1,37.599552
1,81,3200,1,37.582824
1,81,3600,1,37.591155
1,81,4000,1,37.591677
1,81,4400,1,37.611987
1,81,4800,1,37.606471
1,87,2000,1,37.632762
1,87,2400,1,37.687198
1,87,2800,1,37.699662
1,87,3200,1,37.705153
1,87,3600,1,37.766341
1,87,4000,1,38.387968
1,87,4400,1,37.844469
1,87,4800,1,37.965607
1,93,2000,1,38.185091
1,93,2400,1,38.114831
1,93,2800,1,38.075359
1,93,3200,1,37.816440
1,93,3600,1,37.929352
1,93,4000,1,38.631903
1,93,4400,1,38.560704
1,93,4800,1,38.314778
1,99,2000,1,nan
1,99,2400,1,nan
1,99,2800,1,nan
1,99,3200,1,nan
1,99,3600,1,37.666523
1,99,4000,1,37.598636
1,99,4400,1,37.601329
1,99,4800,1,37.616575
1,105,2000,1,37.629284
1,105,2400,1,37.626849
1,105,2800,1,37.622197
1,105,3200,1,37.606318
1,105,3600,1,37.595172
1,105,4000,1,37.590146
1,105,4400,1,37.566992
1,105,4800,1,37.565094
1,111,2000,1,37.565812
1,111,2400,1,37.571899
1,111,2800,1,37.566460
1,111,3200,1,37.565609
1,111,3600,1,37.565012
1,111,4000,1,37.574970
1,111,4400,1,37.564830
1,111,4800,1,37.564808
1,117,2000,1,37.564298
1,117,2400,1,37.573080
1,117,2800,1,37.565665
1,117,3200,1,37.569649
1,117,3600,1,37.571566
1,117,4000,1,37.569363
1,117,4400,1,37.579083
1,117,4800,1,37.581276
1,123,2000,1,37.581911
1,123,2400,1,37.575500
1,123,2800,1,37.582829
1,123,3200,1,37.570661
1,123,3600,1,37.582112
1,123,4000,1,37.582003
1,123,4400,1,37.582539
1,123,4800,1,37.569877
1,129,2000,1,nan
1,129,2400,1,18.174005
1,129,2800,1,nan
1,129,3200,1,17.040436
1,129,3600,1,30.469936
1,129,4000,1,15.790586
1,129,4400,1,nan
1,129,4800,1,nan
1,135,2000,1,nan
1,135,2400,1,18.171545
1,135,2800,1,nan
1,135,3200,1,17.039205
1,135,3600,1,30.465503
1,135,4000,1,15.785882
1,135,4400,1,nan
1,135,4800,1,nan
1,141,2000,1,nan
1,141,2400,1,18.182506
1,141,2800,1,nan
1,141,3200,1,17.038557
1,141,3600,1,30.467856
1,141,4000,1,15.785914
1,141,4400,1,nan
1,141,4800,1,nan
1,147,2000,1,nan
1,147,2400,1,18.180510
1,147,2800,1,nan
1,147,3200,1,17.038849
1,147,3600,1,30.468847
1,147,4000,1,15.785422
1,147,4400,1,nan
1,147,4800,1,nan
1,153,2000,1,nan
1,153,2400,1,18.181821
1,153,2800,1,nan
1,153,3200,1,17.042589
1,153,3600,1,30.474736
1,153,4000,1,15.793196
1,153,4400,1,nan
1,153,4800,1,nan
1,159,2000,1,nan
1,159,2400,1,18.176448
1,159,2800,1,nan
1,159,3200,1,17.043542
1,159,3600,1,30.465583
1,159,4000,1,15.783682
1,159,4400,1,nan
1,159,4800,1,nan
1,165,2000,1,nan
1,165,2400,1,18.181316
1,165,2800,1,nan
1,165,3200,1,17.045456
1,165,3600,1,30.461309
1,165,4000,1,15.785091
1,165,4400,1,nan
1,165,4800,1,nan
1,171,2000,1,nan
1,171,2400,1,18.175741
1,171,2800,1,nan
1,171,3200,1,17.042099
1,171,3600,1,30.461569
1,171,4000,1,15.784192
1,171,4400,1,nan
1,171,4800,1,nan
1,177,2000,1,nan
1,177,2400,1,18.175654
1,177,2800,1,nan
1,177,3200,1,17.037886
1,177,3600,1,30.465579
1,177,4000,1,15.789526
1,177,4400,1,nan
1,177,4800,1,nan
1,183,2000,1,nan
1,183,2400,1,18.181293
1,183,2800,1,nan
1,183,3200,1,17.042818
1,183,3600,1,30.462259
1,183,4000,1,15.785592
1,183,4400,1,nan
1,183,4800,1,nan
1,189,2000,1,nan
1,189,2400,1,18.175347
1,189,2800,1,nan
1,189,3200,1,17.038776
1,189,3600,1,30.471811
1,189,4000,1,15.786442
1,189,4400,1,nan
1,189,4800,1,nan
1,195,2000,1,nan
1,195,2400,1,18.176774
1,195,2800,1,nan
1,195,3200,1,17.038555
1,195,3600,1,30.472037
1,195,4000,1,15.791980
1,195,4400,1,nan
1,195,4800,1,nan
2,75,2000,1,28.755649
2,75,2400,1,31.455090
2,75,2800,1,14.719121
2,75,3200,1,21.223221
2,75,3600,1,19.790583
2,75,4000,1,28.675324
2,75,4400,1,24.188856
2,75,4800,1,28.214791
2,81,2000,1,24.643321
2,81,2400,1,24.040642
2,81,2800,1,32.464649
2,81,3200,1,27.780851
2,81,3600,1,22.713330
2,81,4000,1,22.581658
2,81,4400,1,21.614727
2,81,4800,1,31.179644
2,87,2000,1,21.718729
2,87,2400,1,28.315722
2,87,2800,1,29.891331
2,87,3200,1,12.755664
2,87,3600,1,22.181309
2,87,4000,1,32.781937
2,87,4400,1,17.209792
2,87,4800,1,30.201391
2,93,2000,1,30.780260
2,93,2400,1,27.355227
2,93,2800,1,22.169984
2,93,3200,1,14.664717
2,93,3600,1,24.785629
2,93,4000,1,14.062320
2,93,4400,1,19.471821
2,93,4800,1,23.949849
2,99,2000,1,33.255066
2,99,2400,1,29.204149
2,99,2800,1,21.685770
2,99,3200,1,24.327050
2,99,3600,1,31.873939
2,99,4000,1,22.247571
2,99,4400,1,27.054675
2,99,4800,1,17.325904
2,105,2000,1,28.136569
2,105,2400,1,29.240503
2,105,2800,1,17.607680
2,105,3200,1,20.084318
2,105,3600,1,17.592711
2,105,4000,1,13.323394
2,105,4400,1,24.039658
2,105,4800,1,24.074871
2,111,2000,1,39.695655
2,111,2400,1,20.876941
2,111,2800,1,25.400531
2,111,3200,1,25.197748
2,111,3600,1,22.925181
2,111,4000,1,28.976442
2,111,4400,1,23.106125
2,111,4800,1,33.856549
2,117,2000,1,29.640005
2,117,2400,1,29.230154
2,117,2800,1,29.330708
2,117,3200,1,19.472442
2,117,3600,1,17.437155
2,117,4000,1,30.773677
2,117,4400,1,30.938439
2,117,4800,1,18.889200
2,123,2000,1,29.084385
