NUM_THREADS,BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
1,75,2000,1,1.058596
1,75,2200,1,0.801813
1,75,2400,1,0.576352
1,75,2600,1,0.366290
1,75,2800,1,4.131766
1,75,3000,1,4.128567
1,75,3200,1,4.126483
1,75,3400,1,4.125838
1,75,3600,1,4.129604
1,75,3800,1,4.127335
1,75,4000,1,4.126959
1,75,4200,1,4.126353
1,75,4400,1,4.126740
1,75,4600,1,4.126188
1,75,4800,1,4.126991
1,75,5000,1,4.127780
1,81,2000,1,1.059311
1,81,2200,1,0.801795
1,81,2400,1,0.576179
1,81,2600,1,0.367234
1,81,2800,1,2.897059
1,81,3000,1,2.766395
1,81,3200,1,2.628473
1,81,3400,1,2.490327
1,81,3600,1,2.344764
1,81,3800,1,2.205066
1,81,4000,1,1.754628
1,81,4200,1,1.263687
1,81,4400,1,1.128145
1,81,4600,1,0.997016
1,81,4800,1,0.856662
1,81,5000,1,0.714547
1,87,2000,1,1.058651
1,87,2200,1,0.801793
1,87,2400,1,0.575880
1,87,2600,1,0.366335
1,87,2800,1,2.902646
1,87,3000,1,2.765290
1,87,3200,1,2.628975
1,87,3400,1,2.492712
1,87,3600,1,2.343754
1,87,3800,1,2.200826
1,87,4000,1,1.753984
1,87,4200,1,1.263869
1,87,4400,1,1.126810
1,87,4600,1,0.998689
1,87,4800,1,0.858352
1,87,5000,1,0.714369
1,93,2000,1,1.059419
1,93,2200,1,0.801645
1,93,2400,1,0.576196
1,93,2600,1,0.365744
1,93,2800,1,2.898382
1,93,3000,1,2.765250
1,93,3200,1,2.629418
1,93,3400,1,2.490428
1,93,3600,1,2.345595
1,93,3800,1,2.202503
1,93,4000,1,1.753751
1,93,4200,1,1.262745
1,93,4400,1,1.126803
1,93,4600,1,1.000710
1,93,4800,1,0.861617
1,93,5000,1,0.717584
1,99,2000,1,1.062678
1,99,2200,1,0.805347
1,99,2400,1,0.578960
1,99,2600,1,0.367675
1,99,2800,1,2.901149
1,99,3000,1,2.765905
1,99,3200,1,2.655034
1,99,3400,1,2.489269
1,99,3600,1,2.343075
1,99,3800,1,2.209822
1,99,4000,1,1.754372
1,99,4200,1,1.264128
1,99,4400,1,1.126250
1,99,4600,1,0.998139
1,99,4800,1,0.858662
1,99,5000,1,0.714303
1,105,2000,1,1.058279
1,105,2200,1,0.802339
1,105,2400,1,0.576203
1,105,2600,1,0.366223
1,105,2800,1,2.916768
1,105,3000,1,2.766587
1,105,3200,1,2.635833
1,105,3400,1,2.496421
1,105,3600,1,2.347246
1,105,3800,1,2.208144
1,105,4000,1,1.753548
1,105,4200,1,1.263537
1,105,4400,1,1.129609
1,105,4600,1,0.996726
1,105,4800,1,0.857703
1,105,5000,1,0.713649
1,111,2000,1,1.059710
1,111,2200,1,0.803580
1,111,2400,1,0.576146
1,111,2600,1,0.365702
1,111,2800,1,2.896612
1,111,3000,1,2.767044
1,111,3200,1,2.628105
1,111,3400,1,2.494112
1,111,3600,1,2.342357
1,111,3800,1,2.205808
1,111,4000,1,1.756218
1,111,4200,1,1.262267
1,111,4400,1,1.126540
1,111,4600,1,0.996431
1,111,4800,1,0.861040
1,111,5000,1,0.714242
1,117,2000,1,1.057851
1,117,2200,1,0.801400
1,117,2400,1,0.576229
1,117,2600,1,0.366102
1,117,2800,1,2.898775
1,117,3000,1,2.768419
1,117,3200,1,2.631075
1,117,3400,1,2.491705
1,117,3600,1,2.347183
1,117,3800,1,2.207015
1,117,4000,1,1.753122
1,117,4200,1,1.263778
1,117,4400,1,1.133180
1,117,4600,1,0.995950
1,117,4800,1,0.857232
1,117,5000,1,0.714321
1,123,2000,1,1.058420
1,123,2200,1,0.801387
1,123,2400,1,0.579041
1,123,2600,1,0.366242
1,123,2800,1,2.896848
1,123,3000,1,2.767249
1,123,3200,1,2.627422
1,123,3400,1,2.493878
1,123,3600,1,2.342484
1,123,3800,1,2.201826
1,123,4000,1,1.752778
1,123,4200,1,1.263111
1,123,4400,1,1.126843
1,123,4600,1,0.997649
1,123,4800,1,0.856831
1,123,5000,1,0.713855
1,129,2000,1,1.058502
1,129,2200,1,0.801026
1,129,2400,1,0.575546
1,129,2600,1,0.366211
1,129,2800,1,2.904820
1,129,3000,1,2.766754
1,129,3200,1,2.642177
1,129,3400,1,2.492162
1,129,3600,1,2.350864
1,129,3800,1,2.200856
1,129,4000,1,1.756631
1,129,4200,1,1.274339
1,129,4400,1,1.126981
1,129,4600,1,0.998686
1,129,4800,1,0.856712
1,129,5000,1,0.714169
1,135,2000,1,1.058599
1,135,2200,1,0.801152
1,135,2400,1,0.576231
1,135,2600,1,0.365919
1,135,2800,1,2.897407
1,135,3000,1,2.767524
1,135,3200,1,2.629073
1,135,3400,1,2.492091
1,135,3600,1,2.342709
1,135,3800,1,2.202300
1,135,4000,1,1.754657
1,135,4200,1,1.262878
1,135,4400,1,1.135606
1,135,4600,1,0.996911
1,135,4800,1,0.856683
1,135,5000,1,0.713656
1,141,2000,1,1.058284
1,141,2200,1,0.801384
1,141,2400,1,0.577337
1,141,2600,1,0.366220
1,141,2800,1,2.896487
1,141,3000,1,2.769852
1,141,3200,1,2.628708
1,141,3400,1,2.503794
1,141,3600,1,2.374346
1,141,3800,1,2.205197
1,141,4000,1,1.753505
1,141,4200,1,1.262309
1,141,4400,1,1.133939
1,141,4600,1,0.998914
1,141,4800,1,0.857465
1,141,5000,1,0.713690
1,147,2000,1,1.058421
1,147,2200,1,0.800979
1,147,2400,1,0.575890
1,147,2600,1,0.367541
1,147,2800,1,2.911865
1,147,3000,1,2.764661
1,147,3200,1,2.631409
1,147,3400,1,2.489953
1,147,3600,1,2.343504
1,147,3800,1,2.201120
1,147,4000,1,1.754774
1,147,4200,1,1.264668
1,147,4400,1,1.126585
1,147,4600,1,0.995958
1,147,4800,1,0.857070
1,147,5000,1,0.716133
1,153,2000,1,1.075219
1,153,2200,1,0.807892
1,153,2400,1,0.583330
1,153,2600,1,0.367547
1,153,2800,1,2.908532
1,153,3000,1,2.764739
1,153,3200,1,2.634032
1,153,3400,1,2.489968
1,153,3600,1,2.348700
1,153,3800,1,2.204179
1,153,4000,1,1.752828
1,153,4200,1,1.262375
1,153,4400,1,1.130397
1,153,4600,1,0.997518
1,153,4800,1,0.857163
1,153,5000,1,0.713349
1,159,2000,1,1.057927
1,159,2200,1,0.801170
1,159,2400,1,0.575681
1,159,2600,1,0.366772
1,159,2800,1,2.898559
1,159,3000,1,2.770589
