BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
50,8600,2,0.354024
50,8600,3,0.586337
50,8600,4,0.495862
50,8600,5,0.275378
50,8600,6,0.200065
50,8800,1,0.172607
50,8800,2,0.313666
50,8800,3,0.296908
50,8800,4,0.549104
50,8800,5,0.122370
50,8800,6,0.421275
50,9000,1,0.525943
50,9000,2,0.503191
50,9000,3,0.535986
50,9000,4,0.546400
50,9000,5,0.601306
50,9000,6,0.365267
50,9200,1,0.635224
50,9200,2,0.277901
50,9200,3,0.576501
50,9200,4,0.487509
50,9200,5,0.517008
50,9200,6,0.485843
50,9400,1,0.117118
50,9400,2,0.698981
50,9400,3,0.479887
50,9400,4,0.412648
50,9400,5,0.511929
50,9400,6,0.478365
50,9600,1,0.331667
50,9600,2,0.196357
50,9600,3,0.228144
50,9600,4,0.257764
50,9600,5,0.533695
50,9600,6,0.433443
50,9800,1,0.556439
50,9800,2,0.474350
50,9800,3,0.449744
50,9800,4,0.380672
50,9800,5,0.351721
50,9800,6,0.458736
50,10000,1,0.429291
50,10000,2,0.748906
50,10000,3,0.562252
50,10000,4,0.388886
50,10000,5,0.500990
50,10000,6,0.287072
54,1000,1,1.653395
54,1000,2,1.209720
54,1000,3,1.210877
54,1000,4,0.657059
54,1000,5,1.655890
54,1000,6,0.749770
54,1200,1,0.231804
54,1200,2,0.757578
54,1200,3,1.658325
54,1200,4,0.660398
54,1200,5,1.212137
54,1200,6,0.755274
54,1400,1,0.655966
54,1400,2,0.552971
54,1400,3,0.662494
54,1400,4,1.217387
54,1400,5,0.675416
54,1400,6,0.804507
54,1600,1,0.685221
54,1600,2,0.317570
54,1600,3,0.482041
54,1600,4,0.760030
54,1600,5,1.214412
54,1600,6,1.216852
54,1800,1,0.762349
54,1800,2,0.310340
54,1800,3,0.755431
54,1800,4,0.389471
54,1800,5,0.441983
54,1800,6,1.202728
54,2000,1,0.492400
54,2000,2,0.482240
54,2000,3,0.123088
54,2000,4,0.710295
54,2000,5,1.204435
54,2000,6,0.368653
54,2200,1,0.638862
54,2200,2,0.487011
54,2200,3,0.344593
54,2200,4,0.344180
54,2200,5,0.483821
54,2200,6,0.651647
54,2400,1,0.459942
54,2400,2,0.261226
54,2400,3,0.344261
54,2400,4,0.128825
54,2400,5,0.453958
54,2400,6,0.793078
54,2600,1,0.483473
54,2600,2,0.409993
54,2600,3,0.409897
54,2600,4,0.451876
54,2600,5,0.445841
54,2600,6,0.339050
54,2800,1,0.280852
54,2800,2,0.443118
54,2800,3,0.201406
54,2800,4,0.601331
54,2800,5,0.201503
54,2800,6,0.341695
54,3000,1,0.426031
54,3000,2,0.303550
54,3000,3,0.255819
54,3000,4,0.442440
54,3000,5,0.743355
54,3000,6,0.471644
54,3200,1,0.626598
54,3200,2,0.636957
54,3200,3,0.233941
54,3200,4,0.267121
54,3200,5,0.628330
54,3200,6,0.330783
54,3400,1,0.449982
54,3400,2,0.213781
54,3400,3,0.332565
54,3400,4,0.363806
54,3400,5,0.512969
54,3400,6,0.584378
54,3600,1,0.484842
54,3600,2,0.519473
54,3600,3,0.160860
54,3600,4,0.694655
54,3600,5,0.570798
54,3600,6,0.638464
54,3800,1,0.546256
54,3800,2,0.141899
54,3800,3,0.191439
54,3800,4,0.490194
54,3800,5,0.505066
54,3800,6,0.266605
54,4000,1,0.289498
54,4000,2,0.278368
54,4000,3,0.233781
54,4000,4,0.264512
54,4000,5,0.429483
54,4000,6,0.605167
54,4200,1,0.234395
54,4200,2,0.359844
54,4200,3,0.194159
54,4200,4,0.128782
54,4200,5,0.622080
54,4200,6,0.570794
54,4400,1,0.572397
54,4400,2,0.388585
54,4400,3,0.247598
54,4400,4,0.493059
54,4400,5,0.243880
54,4400,6,0.267087
54,4600,1,0.225714
54,4600,2,0.462392
54,4600,3,0.453388
54,4600,4,0.516151
54,4600,5,0.550300
54,4600,6,0.285003
54,4800,1,0.429179
54,4800,2,0.629180
54,4800,3,0.200620
54,4800,4,0.597329
54,4800,5,0.629779
54,4800,6,0.445689
