NUM_THREADS,BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
1,2,2,1,1.035679
1,2,52,1,2.082071
1,2,102,1,2.073739
1,2,152,1,1.884334
1,2,202,1,1.884724
1,2,252,1,1.884594
1,2,302,1,1.884308
1,2,352,1,1.884296
1,2,402,1,1.884889
1,2,452,1,1.884933
1,2,502,1,1.884703
1,2,552,1,1.884197
1,2,602,1,1.884725
1,2,652,1,1.884642
1,2,702,1,1.885840
1,2,752,1,1.884771
1,2,802,1,1.884568
1,2,852,1,1.884348
1,2,902,1,1.884325
1,2,952,1,1.884381
1,2,1002,1,1.884549
1,2,1052,1,1.884499
1,2,1102,1,1.884223
1,2,1152,1,
1,2,1202,1,
1,2,1252,1,
1,2,1302,1,
1,2,1352,1,
1,2,1402,1,
1,2,1452,1,
1,2,1502,1,
1,2,1552,1,
1,2,1602,1,
1,2,1652,1,
1,2,1702,1,
1,2,1752,1,
1,2,1802,1,
1,2,1852,1,
1,2,1902,1,
1,2,1952,1,
1,2,2002,1,
1,2,2052,1,
1,2,2102,1,
1,2,2152,1,
1,2,2202,1,
1,2,2252,1,
1,2,2302,1,
1,2,2352,1,
1,2,2402,1,
1,2,2452,1,
1,2,2502,1,
1,2,2552,1,
1,2,2602,1,
1,2,2652,1,
1,2,2702,1,
1,2,2752,1,
1,2,2802,1,
1,2,2852,1,
1,2,2902,1,
1,2,2952,1,
1,2,3002,1,
1,2,3052,1,
1,2,3102,1,
1,2,3152,1,
1,2,3202,1,
1,2,3252,1,
1,2,3302,1,
1,2,3352,1,
1,2,3402,1,
1,2,3452,1,
1,2,3502,1,
1,2,3552,1,
1,2,3602,1,
1,2,3652,1,
1,2,3702,1,
1,2,3752,1,
1,2,3802,1,
1,2,3852,1,
1,2,3902,1,
1,2,3952,1,
1,2,4002,1,
1,2,4052,1,
1,2,4102,1,
1,2,4152,1,
1,2,4202,1,
1,2,4252,1,
1,2,4302,1,
1,2,4352,1,
1,2,4402,1,
1,2,4452,1,
1,2,4502,1,
1,2,4552,1,
1,2,4602,1,
1,2,4652,1,
1,2,4702,1,
1,2,4752,1,
1,2,4802,1,
1,2,4852,1,
1,2,4902,1,
1,2,4952,1,
1,7,2,1,
1,7,52,1,
1,7,102,1,
1,7,152,1,
1,7,202,1,
1,7,252,1,
1,7,302,1,
1,7,352,1,
1,7,402,1,
1,7,452,1,
1,7,502,1,
1,7,552,1,
1,7,602,1,
1,7,652,1,
1,7,702,1,
1,7,752,1,
1,7,802,1,
1,7,852,1,
1,7,902,1,
1,7,952,1,
1,7,1002,1,
1,7,1052,1,
1,7,1102,1,
1,7,1152,1,
1,7,1202,1,
1,7,1252,1,
1,7,1302,1,
1,7,1352,1,
1,7,1402,1,
1,7,1452,1,
1,7,1502,1,
1,7,1552,1,
1,7,1602,1,
1,7,1652,1,
1,7,1702,1,
1,7,1752,1,
1,7,1802,1,
1,7,1852,1,
1,7,1902,1,
1,7,1952,1,
1,7,2002,1,
1,7,2052,1,
1,7,2102,1,
1,7,2152,1,
1,7,2202,1,
1,7,2252,1,
1,7,2302,1,
1,7,2352,1,
1,7,2402,1,
1,7,2452,1,
1,7,2502,1,
1,7,2552,1,
1,7,2602,1,
1,7,2652,1,
1,7,2702,1,
1,7,2752,1,
1,7,2802,1,
1,7,2852,1,
1,7,2902,1,
1,7,2952,1,
1,7,3002,1,
1,7,3052,1,
1,7,3102,1,
1,7,3152,1,
1,7,3202,1,
1,7,3252,1,
1,7,3302,1,
1,7,3352,1,
1,7,3402,1,
1,7,3452,1,
1,7,3502,1,
1,7,3552,1,
1,7,3602,1,
1,7,3652,1,
1,7,3702,1,
1,7,3752,1,
1,7,3802,1,
1,7,3852,1,
1,7,3902,1,
1,7,3952,1,
1,7,4002,1,
1,7,4052,1,
1,7,4102,1,
1,7,4152,1,
1,7,4202,1,
1,7,4252,1,
1,7,4302,1,
1,7,4352,1,
1,7,4402,1,
1,7,4452,1,
1,7,4502,1,
1,7,4552,1,
1,7,4602,1,
1,7,4652,1,
1,7,4702,1,
1,7,4752,1,
1,7,4802,1,
1,7,4852,1,
1,7,4902,1,
1,7,4952,1,
1,12,2,1,
1,12,52,1,
1,12,102,1,
1,12,152,1,
1,12,202,1,
1,12,252,1,
1,12,302,1,
1,12,352,1,
1,12,402,1,
1,12,452,1,
1,12,502,1,
1,12,552,1,
1,12,602,1,
1,12,652,1,
1,12,702,1,
1,12,752,1,
1,12,802,1,
1,12,852,1,
1,12,902,1,
1,12,952,1,
1,12,1002,1,
1,12,1052,1,
1,12,1102,1,
1,12,1152,1,
1,12,1202,1,
1,12,1252,1,
1,12,1302,1,
1,12,1352,1,
1,12,1402,1,
1,12,1452,1,
1,12,1502,1,
1,12,1552,1,
1,12,1602,1,
1,12,1652,1,
1,12,1702,1,
1,12,1752,1,
1,12,1802,1,
1,12,1852,1,
1,12,1902,1,
1,12,1952,1,
1,12,2002,1,
1,12,2052,1,
1,12,2102,1,
1,12,2152,1,
1,12,2202,1,
1,12,2252,1,
1,12,2302,1,
1,12,2352,1,
1,12,2402,1,
1,12,2452,1,
1,12,2502,1,
1,12,2552,1,
1,12,2602,1,
1,12,2652,1,
1,12,2702,1,
1,12,2752,1,
1,12,2802,1,
1,12,2852,1,
1,12,2902,1,
1,12,2952,1,
1,12,3002,1,
1,12,3052,1,
1,12,3102,1,
1,12,3152,1,
1,12,3202,1,
1,12,3252,1,
1,12,3302,1,
1,12,3352,1,
1,12,3402,1,
1,12,3452,1,
1,12,3502,1,
1,12,3552,1,
1,12,3602,1,
1,12,3652,1,
1,12,3702,1,
1,12,3752,1,
1,12,3802,1,
1,12,3852,1,
1,12,3902,1,
1,12,3952,1,
1,12,4002,1,
1,12,4052,1,
1,12,4102,1,
1,12,4152,1,
1,12,4202,1,
1,12,4252,1,
1,12,4302,1,
1,12,4352,1,
1,12,4402,1,
1,12,4452,1,
1,12,4502,1,
1,12,4552,1,
1,12,4602,1,
1,12,4652,1,
1,12,4702,1,
1,12,4752,1,
1,12,4802,1,
1,12,4852,1,
1,12,4902,1,
1,12,4952,1,
1,17,2,1,
1,17,52,1,
1,17,102,1,
1,17,152,1,
1,17,202,1,
1,17,252,1,
1,17,302,1,
1,17,352,1,
1,17,402,1,
1,17,452,1,
1,17,502,1,
1,17,552,1,
1,17,602,1,
1,17,652,1,
1,17,702,1,
1,17,752,1,
1,17,802,1,
1,17,852,1,
1,17,902,1,
1,17,952,1,
1,17,1002,1,
1,17,1052,1,
1,17,1102,1,
1,17,1152,1,
1,17,1202,1,
1,17,1252,1,
1,17,1302,1,
1,17,1352,1,
1,17,1402,1,
1,17,1452,1,
1,17,1502,1,
1,17,1552,1,
1,17,1602,1,
1,17,1652,1,
1,17,1702,1,
1,17,1752,1,
1,17,1802,1,
1,17,1852,1,
1,17,1902,1,
1,17,1952,1,
1,17,2002,1,
1,17,2052,1,
1,17,2102,1,
1,17,2152,1,
1,17,2202,1,
1,17,2252,1,
1,17,2302,1,
1,17,2352,1,
1,17,2402,1,
1,17,2452,1,
1,17,2502,1,
1,17,2552,1,
1,17,2602,1,
1,17,2652,1,
1,17,2702,1,
1,17,2752,1,
1,17,2802,1,
1,17,2852,1,
1,17,2902,1,
1,17,2952,1,
1,17,3002,1,
1,17,3052,1,
1,17,3102,1,
1,17,3152,1,
1,17,3202,1,
1,17,3252,1,
1,17,3302,1,
1,17,3352,1,
1,17,3402,1,
1,17,3452,1,
1,17,3502,1,
1,17,3552,1,
1,17,3602,1,
1,17,3652,1,
1,17,3702,1,
1,17,3752,1,
1,17,3802,1,
1,17,3852,1,
1,17,3902,1,
1,17,3952,1,
1,17,4002,1,
1,17,4052,1,
1,17,4102,1,
1,17,4152,1,
1,17,4202,1,
1,17,4252,1,
1,17,4302,1,
1,17,4352,1,
1,17,4402,1,
1,17,4452,1,
1,17,4502,1,
1,17,4552,1,
1,17,4602,1,
1,17,4652,1,
1,17,4702,1,
1,17,4752,1,
1,17,4802,1,
1,17,4852,1,
1,17,4902,1,
1,17,4952,1,
1,22,2,1,
1,22,52,1,
1,22,102,1,
1,22,152,1,
1,22,202,1,
1,22,252,1,
1,22,302,1,
1,22,352,1,
1,22,402,1,
1,22,452,1,
1,22,502,1,
1,22,552,1,
1,22,602,1,
1,22,652,1,
1,22,702,1,
1,22,752,1,
1,22,802,1,
1,22,852,1,
1,22,902,1,
1,22,952,1,
1,22,1002,1,
1,22,1052,1,
1,22,1102,1,
1,22,1152,1,
1,22,1202,1,
1,22,1252,1,
1,22,1302,1,
1,22,1352,1,
1,22,1402,1,
1,22,1452,1,
1,22,1502,1,
1,22,1552,1,
1,22,1602,1,
1,22,1652,1,
1,22,1702,1,
1,22,1752,1,
1,22,1802,1,
1,22,1852,1,
1,22,1902,1,
1,22,1952,1,
1,22,2002,1,
1,22,2052,1,
1,22,2102,1,
1,22,2152,1,
1,22,2202,1,
1,22,2252,1,
